Epoch 4 It 10000 | Dev PP = 1421.2645485748797
Epoch 4 It 10000 | Test PP = 1425.0753507881584
Epoch 4 It 10500 | Dev PP = 1431.1070064192759
Epoch 4 It 10500 | Test PP = 1434.290584248932
Epoch 5 It 500 | Dev PP = 1415.7126067990605
Epoch 5 It 500 | Test PP = 1419.008584107356
Epoch 5 It 1000 | Dev PP = 1411.299056367388
Epoch 5 It 1000 | Test PP = 1414.9175942411387
Epoch 5 It 1500 | Dev PP = 1408.7144547292567
Epoch 5 It 1500 | Test PP = 1412.6701841716872
Epoch 5 It 2000 | Dev PP = 1408.3676208211784
Epoch 5 It 2000 | Test PP = 1412.4790522733026
Epoch 5 It 2500 | Dev PP = 1404.582080066008
Epoch 5 It 2500 | Test PP = 1409.2893296542495
Epoch 5 It 3000 | Dev PP = 1408.1313357074916
Epoch 5 It 3000 | Test PP = 1412.6375158279432
Epoch 5 It 3500 | Dev PP = 1413.7138312114462
Epoch 5 It 3500 | Test PP = 1417.982268152026
Epoch 5 It 4000 | Dev PP = 1410.9283107342803
Epoch 5 It 4000 | Test PP = 1415.0301388271703
Epoch 5 It 4500 | Dev PP = 1416.4148594283454
Epoch 5 It 4500 | Test PP = 1420.712281502952
Epoch 5 It 5000 | Dev PP = 1424.9689903947076
Epoch 5 It 5000 | Test PP = 1428.94551106254
Epoch 5 It 5500 | Dev PP = 1417.7816608535445
Epoch 5 It 5500 | Test PP = 1422.160698381798
Epoch 5 It 6000 | Dev PP = 1411.3425851293564
Epoch 5 It 6000 | Test PP = 1416.1969971999258
Epoch 5 It 6500 | Dev PP = 1417.4845419168664
Epoch 5 It 6500 | Test PP = 1422.7068853418727
Epoch 5 It 7000 | Dev PP = 1448.4529975510952
Epoch 5 It 7000 | Test PP = 1455.0191823923872
Epoch 5 It 7500 | Dev PP = 1436.2038114154286
Epoch 5 It 7500 | Test PP = 1442.9478254193496
Epoch 5 It 8000 | Dev PP = 1426.5212370155475
Epoch 5 It 8000 | Test PP = 1433.7279195397095
Epoch 5 It 8500 | Dev PP = 1427.8176552575894
Epoch 5 It 8500 | Test PP = 1432.874968986053
Epoch 5 It 9000 | Dev PP = 1428.2044825675646
Epoch 5 It 9000 | Test PP = 1432.124547349641
Epoch 5 It 9500 | Dev PP = 1422.5397066665064
Epoch 5 It 9500 | Test PP = 1426.2081421688922
Epoch 5 It 10000 | Dev PP = 1423.828108753496
Epoch 5 It 10000 | Test PP = 1427.2678148568866
Epoch 5 It 10500 | Dev PP = 1432.2964803712916
Epoch 5 It 10500 | Test PP = 1435.1771177723535
Epoch 6 It 500 | Dev PP = 1416.8658895191356
Epoch 6 It 500 | Test PP = 1419.8943372077165
Epoch 6 It 1000 | Dev PP = 1412.6257776242087
Epoch 6 It 1000 | Test PP = 1415.9649454218265
Epoch 6 It 1500 | Dev PP = 1410.571914205203
Epoch 6 It 1500 | Test PP = 1414.225325023935
Epoch 6 It 2000 | Dev PP = 1409.7457571978644
Epoch 6 It 2000 | Test PP = 1413.5767803621263
Epoch 6 It 2500 | Dev PP = 1406.8344184329328
Epoch 6 It 2500 | Test PP = 1410.98958926086
Epoch 6 It 3000 | Dev PP = 1409.143794986599
Epoch 6 It 3000 | Test PP = 1413.4510795723536
Epoch 6 It 3500 | Dev PP = 1414.741007862748
Epoch 6 It 3500 | Test PP = 1419.067888842601
